,Own children of the householder 6 to 17 years,Median household income (dollars),Mean household income (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,Total households,Total population,relation_max_fee,relation_min_fee,TRACTCE10,INTPTLAT,INTPTLONG,label
315,402.0,45469.0,64202.0,1766.0,1011.0,4068.0,1308.0,4068.0,1087.0,921.0,250600.0,41.91,-87.77,0.0
316,693.0,31370.0,47458.0,1637.0,921.0,5194.0,2026.0,5194.0,1087.0,830.0,250700.0,41.91,-87.76,0.0
317,487.0,38462.0,46278.0,1399.0,957.0,2415.0,782.0,2415.0,988.0,825.0,250800.0,41.91,-87.75,0.0
318,153.0,37000.0,57890.0,1529.0,881.0,907.0,336.0,907.0,1030.0,825.0,251000.0,41.9,-87.74,0.0
319,506.0,21274.0,35407.0,1544.0,830.0,4085.0,1461.0,4103.0,1087.0,881.0,251100.0,41.9,-87.75,1.0
320,673.0,44428.0,56907.0,1432.0,1087.0,4351.0,1119.0,4351.0,1069.0,830.0,251200.0,41.9,-87.76,0.0
321,535.0,29255.0,47658.0,1482.0,1069.0,4414.0,1452.0,4446.0,1087.0,790.0,251300.0,41.9,-87.77,0.0
322,540.0,29518.0,43838.0,1578.0,790.0,4536.0,1712.0,4544.0,1087.0,816.0,251400.0,41.89,-87.77,1.0
323,581.0,21567.0,44937.0,1595.0,927.0,4186.0,1404.0,4194.0,1087.0,790.0,251500.0,41.89,-87.76,1.0
324,641.0,33189.0,49728.0,1806.0,978.0,4042.0,1013.0,4063.0,1030.0,830.0,251600.0,41.89,-87.75,0.0
325,225.0,31250.0,41981.0,1432.0,1030.0,1313.0,356.0,1321.0,978.0,828.0,251700.0,41.89,-87.74,0.0
326,1156.0,23295.0,39607.0,1670.0,952.0,5253.0,1629.0,5275.0,1030.0,835.0,251800.0,41.88,-87.75,0.0
327,866.0,20092.0,31673.0,1368.0,835.0,4862.0,1601.0,4862.0,987.0,816.0,251900.0,41.88,-87.76,1.0
328,915.0,21879.0,38136.0,1814.0,816.0,5555.0,2259.0,5738.0,1069.0,706.0,252000.0,41.88,-87.77,0.0
329,111.0,21339.0,40469.0,1807.0,706.0,1390.0,592.0,1390.0,987.0,790.0,252101.0,41.87,-87.77,0.0
330,1446.0,39243.0,49209.0,1347.0,987.0,6980.0,2058.0,6980.0,952.0,706.0,252102.0,41.88,-87.76,0.0
331,289.0,33295.0,40306.0,1441.0,937.0,2556.0,981.0,2927.0,1163.0,835.0,252201.0,41.88,-87.75,0.0
332,847.0,26826.0,33340.0,1771.0,854.0,4701.0,1547.0,4757.0,1163.0,836.0,252202.0,41.88,-87.74,0.0
333,180.0,15778.0,26916.0,1467.0,538.0,1249.0,543.0,1249.0,1064.0,695.0,260100.0,41.88,-87.72,0.0
334,144.0,33750.0,41118.0,1500.0,1064.0,1223.0,364.0,1223.0,998.0,538.0,260200.0,41.88,-87.73,0.0
335,278.0,30234.0,34839.0,1410.0,783.0,1560.0,540.0,1583.0,1163.0,538.0,260300.0,41.88,-87.73,0.0
336,149.0,18218.0,28898.0,1114.0,836.0,1292.0,397.0,1292.0,1163.0,783.0,260400.0,41.88,-87.74,0.0
337,284.0,29545.0,39842.0,1682.0,1163.0,1566.0,514.0,1587.0,1010.0,783.0,260500.0,41.88,-87.74,0.0
338,402.0,20882.0,31705.0,1483.0,998.0,1989.0,514.0,1989.0,1163.0,783.0,260600.0,41.88,-87.73,0.0
339,341.0,23367.0,32380.0,1560.0,954.0,1774.0,558.0,1774.0,1064.0,538.0,260700.0,41.88,-87.73,0.0
340,526.0,22083.0,46438.0,1495.0,995.0,2681.0,870.0,2681.0,1064.0,538.0,260800.0,41.88,-87.72,0.0
341,215.0,22000.0,33112.0,1375.0,742.0,1222.0,348.0,1379.0,1010.0,880.0,260900.0,41.87,-87.72,1.0
342,330.0,24688.0,37984.0,1286.0,1010.0,2398.0,687.0,2398.0,1163.0,742.0,261000.0,41.87,-87.73,0.0
343,225.0,16103.0,34699.0,1458.0,908.0,1690.0,617.0,1690.0,1096.0,695.0,270500.0,41.88,-87.72,0.0
344,136.0,26098.0,33065.0,1425.0,998.0,1126.0,360.0,1214.0,987.0,547.0,271200.0,41.88,-87.7,0.0
345,370.0,24878.0,60329.0,1520.0,823.0,1261.0,360.0,1261.0,1096.0,746.0,271300.0,41.88,-87.71,0.0
346,282.0,24271.0,42277.0,1250.0,909.0,1304.0,460.0,1353.0,1096.0,695.0,271400.0,41.88,-87.71,0.0
347,194.0,30729.0,41782.0,1813.0,1096.0,1483.0,453.0,1483.0,991.0,742.0,271500.0,41.87,-87.71,1.0
348,143.0,16477.0,22205.0,0.0,547.0,783.0,213.0,783.0,998.0,706.0,271800.0,41.87,-87.7,0.0
349,64.0,129148.0,167903.0,2417.0,2214.0,6567.0,4213.0,6567.0,2024.0,756.0,280100.0,41.89,-87.64,0.0
350,456.0,35275.0,48648.0,1813.0,1118.0,1605.0,589.0,1715.0,1432.0,473.0,280400.0,41.89,-87.67,1.0
351,194.0,21250.0,34334.0,1677.0,515.0,977.0,361.0,1008.0,1412.0,467.0,280800.0,41.88,-87.69,0.0
352,228.0,19485.0,48172.0,2207.0,489.0,1014.0,359.0,1014.0,1412.0,467.0,280900.0,41.88,-87.69,0.0
353,107.0,88708.0,115699.0,2267.0,1767.0,5662.0,3312.0,5719.0,2214.0,1442.0,281900.0,41.88,-87.64,0.0
354,393.0,67467.0,82311.0,1767.0,1412.0,2290.0,773.0,2290.0,1374.0,489.0,282700.0,41.87,-87.69,0.0
355,170.0,53438.0,86967.0,2333.0,1374.0,1642.0,648.0,1642.0,1412.0,467.0,282800.0,41.87,-87.68,0.0
356,262.0,42917.0,62121.0,2633.0,1429.0,3003.0,1169.0,3003.0,1608.0,567.0,283100.0,41.87,-87.66,0.0
357,150.0,78750.0,101946.0,2496.0,1608.0,1587.0,662.0,1587.0,1776.0,771.0,283200.0,41.87,-87.66,0.0
358,359.0,62548.0,79384.0,1970.0,1219.0,3850.0,1703.0,3855.0,1608.0,771.0,283800.0,41.86,-87.65,0.0
359,880.0,24071.0,36093.0,1415.0,748.0,4076.0,1226.0,4076.0,1010.0,742.0,290900.0,41.86,-87.73,1.0
360,599.0,24650.0,34621.0,1469.0,991.0,2661.0,819.0,2664.0,1196.0,954.0,291200.0,41.86,-87.71,0.0
361,151.0,48180.0,46366.0,2047.0,960.0,1057.0,357.0,1057.0,984.0,703.0,291600.0,41.86,-87.69,1.0
362,488.0,31902.0,41551.0,1619.0,998.0,2922.0,947.0,2922.0,1196.0,871.0,292200.0,41.86,-87.72,0.0
363,394.0,29018.0,50464.0,1540.0,1002.0,2416.0,646.0,2421.0,1055.0,793.0,292400.0,41.86,-87.72,0.0
364,513.0,40324.0,44680.0,1446.0,961.0,4070.0,1392.0,4070.0,1002.0,667.0,292500.0,41.86,-87.73,0.0
365,506.0,38047.0,43118.0,1587.0,793.0,2781.0,853.0,2781.0,1002.0,771.0,300500.0,41.85,-87.72,1.0
366,523.0,41286.0,49901.0,1612.0,871.0,2959.0,738.0,3064.0,1055.0,726.0,300600.0,41.85,-87.72,0.0
367,957.0,34153.0,39745.0,2064.0,816.0,4778.0,1323.0,4778.0,1196.0,726.0,300700.0,41.85,-87.71,0.0
368,1159.0,29844.0,34505.0,1804.0,791.0,4127.0,1103.0,4127.0,1196.0,658.0,300800.0,41.85,-87.71,1.0
369,919.0,27859.0,37698.0,1550.0,748.0,4367.0,1275.0,4382.0,1196.0,658.0,300900.0,41.85,-87.7,1.0
370,571.0,28135.0,40585.0,1659.0,703.0,2772.0,796.0,2772.0,791.0,658.0,301100.0,41.85,-87.7,1.0
371,674.0,26076.0,36939.0,2104.0,744.0,3420.0,1048.0,3435.0,960.0,703.0,301200.0,41.85,-87.69,1.0
372,1126.0,32375.0,43153.0,1246.0,726.0,5094.0,1298.0,5108.0,871.0,743.0,301600.0,41.84,-87.71,1.0
373,1026.0,31775.0,46773.0,1522.0,779.0,3989.0,1017.0,3994.0,871.0,726.0,301701.0,41.84,-87.72,0.0
374,841.0,40417.0,47213.0,1554.0,822.0,4476.0,1095.0,4476.0,871.0,726.0,301702.0,41.84,-87.72,0.0
375,769.0,35784.0,48990.0,1453.0,854.0,3835.0,1079.0,3840.0,961.0,667.0,301801.0,41.84,-87.74,0.0
376,660.0,32500.0,40633.0,1449.0,771.0,3341.0,864.0,3346.0,854.0,667.0,301802.0,41.85,-87.73,0.0
377,1055.0,35960.0,44483.0,1503.0,813.0,5506.0,1349.0,5506.0,854.0,667.0,301803.0,41.84,-87.73,0.0
378,166.0,57273.0,64813.0,2125.0,1252.0,1460.0,636.0,1465.0,1959.0,822.0,310200.0,41.86,-87.64,0.0
379,204.0,48542.0,63798.0,1929.0,983.0,1696.0,684.0,1696.0,1252.0,771.0,310300.0,41.86,-87.65,0.0
380,136.0,52379.0,70101.0,1917.0,878.0,1171.0,513.0,1171.0,1252.0,771.0,310400.0,41.86,-87.65,0.0
381,129.0,45781.0,56938.0,1427.0,868.0,1387.0,502.0,1387.0,1252.0,771.0,310500.0,41.86,-87.65,0.0
382,326.0,31991.0,49216.0,2620.0,771.0,4314.0,1951.0,4377.0,1219.0,830.0,310600.0,41.86,-87.66,1.0
383,160.0,43173.0,48950.0,1609.0,835.0,1432.0,505.0,1456.0,929.0,567.0,310700.0,41.86,-87.66,0.0
384,699.0,48243.0,56710.0,2395.0,830.0,4392.0,1514.0,4397.0,929.0,567.0,310800.0,41.86,-87.67,0.0
385,1116.0,36913.0,51630.0,1690.0,929.0,5466.0,1629.0,5466.0,969.0,567.0,310900.0,41.86,-87.67,1.0
386,136.0,116587.0,166732.0,3211.0,2134.0,12586.0,7967.0,12739.0,2291.0,1749.0,320100.0,41.89,-87.62,0.0
387,18.0,160833.0,269813.0,3474.0,2291.0,1097.0,660.0,3167.0,2134.0,1759.0,320400.0,41.88,-87.62,0.0
388,94.0,101311.0,124895.0,3060.0,1923.0,4672.0,2696.0,4672.0,2291.0,710.0,320600.0,41.87,-87.62,0.0
389,1351.0,97897.0,148590.0,2523.0,1759.0,18841.0,11012.0,19015.0,2291.0,710.0,330100.0,41.86,-87.62,1.0
390,455.0,78925.0,135320.0,2724.0,710.0,3727.0,1905.0,3727.0,2059.0,822.0,330200.0,41.87,-87.63,0.0
391,252.0,32321.0,54565.0,1819.0,647.0,1792.0,663.0,1792.0,894.0,282.0,340300.0,41.84,-87.64,0.0
392,232.0,34712.0,51466.0,1744.0,872.0,2145.0,641.0,2150.0,2094.0,282.0,340400.0,41.84,-87.63,0.0
393,91.0,25242.0,42393.0,1988.0,700.0,1638.0,820.0,1638.0,2094.0,282.0,340500.0,41.83,-87.63,0.0
394,228.0,11622.0,20985.0,0.0,284.0,995.0,413.0,995.0,2094.0,362.0,340600.0,41.83,-87.63,1.0
395,0.0,43548.0,46843.0,0.0,1110.0,2239.0,1503.0,2239.0,1478.0,339.0,350100.0,41.84,-87.61,0.0
396,539.0,10980.0,17379.0,0.0,282.0,1856.0,662.0,1856.0,2094.0,647.0,350400.0,41.84,-87.63,0.0
397,236.0,46850.0,55223.0,1941.0,1128.0,3776.0,2335.0,3776.0,1478.0,339.0,351000.0,41.84,-87.61,0.0
398,519.0,10825.0,19038.0,0.0,401.0,2102.0,878.0,2102.0,792.0,339.0,351100.0,41.83,-87.61,1.0
399,280.0,13149.0,36397.0,2317.0,362.0,1866.0,765.0,1939.0,2094.0,339.0,351400.0,41.83,-87.62,1.0
400,49.0,23700.0,46565.0,2094.0,1000.0,507.0,200.0,507.0,2094.0,284.0,351500.0,41.83,-87.63,1.0
401,482.0,23594.0,29931.0,1850.0,792.0,1583.0,663.0,1583.0,1128.0,401.0,360200.0,41.83,-87.61,0.0
402,258.0,19328.0,37481.0,1610.0,446.0,1927.0,1005.0,1932.0,1090.0,401.0,380100.0,41.82,-87.61,0.0
403,152.0,20536.0,33192.0,1224.0,681.0,1845.0,1170.0,1845.0,1090.0,401.0,380200.0,41.82,-87.61,0.0
404,200.0,19358.0,25800.0,0.0,875.0,800.0,305.0,800.0,1000.0,362.0,380500.0,41.82,-87.63,0.0
405,117.0,35833.0,43883.0,1604.0,834.0,1022.0,436.0,1243.0,1047.0,630.0,380700.0,41.81,-87.62,1.0
406,117.0,38370.0,64208.0,1788.0,785.0,1792.0,1033.0,1792.0,1090.0,798.0,381200.0,41.81,-87.61,0.0
407,301.0,38167.0,48394.0,2121.0,1026.0,1660.0,672.0,1660.0,1047.0,785.0,381400.0,41.81,-87.62,0.0
408,59.0,0.0,48931.0,0.0,1047.0,341.0,125.0,341.0,1026.0,745.0,381500.0,41.81,-87.62,0.0
409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,719.0,381700.0,41.81,-87.63,0.0
410,80.0,36375.0,52538.0,1764.0,1016.0,1003.0,537.0,1034.0,1047.0,785.0,381800.0,41.8,-87.62,1.0
411,122.0,39400.0,59726.0,1834.0,798.0,1282.0,542.0,1282.0,1040.0,785.0,381900.0,41.8,-87.61,0.0
412,223.0,74318.0,103569.0,2214.0,1080.0,1464.0,614.0,1464.0,1111.0,489.0,390100.0,41.81,-87.59,1.0
413,215.0,75375.0,103116.0,2380.0,1046.0,1713.0,845.0,1718.0,1111.0,489.0,390200.0,41.81,-87.6,0.0
414,414.0,21769.0,40739.0,2031.0,693.0,2687.0,1439.0,2830.0,1111.0,446.0,390300.0,41.81,-87.6,0.0
415,306.0,24848.0,60384.0,2815.0,811.0,2458.0,1435.0,2509.0,1280.0,693.0,390400.0,41.81,-87.6,0.0
416,161.0,44231.0,102880.0,3750.0,1111.0,1457.0,726.0,1462.0,1066.0,811.0,390500.0,41.81,-87.6,0.0
417,263.0,82159.0,128660.0,2227.0,1042.0,1822.0,835.0,1829.0,1159.0,994.0,390600.0,41.81,-87.59,0.0
418,210.0,53015.0,70344.0,1658.0,1341.0,5377.0,3287.0,5377.0,1080.0,972.0,390700.0,41.8,-87.58,0.0
419,365.0,29417.0,36494.0,1625.0,1082.0,1316.0,553.0,1347.0,1280.0,828.0,400300.0,41.79,-87.61,0.0
420,259.0,32310.0,42651.0,1321.0,998.0,1861.0,700.0,1886.0,1082.0,779.0,400400.0,41.79,-87.62,0.0
421,442.0,24907.0,30653.0,1344.0,878.0,1986.0,770.0,1986.0,1082.0,779.0,400500.0,41.79,-87.62,1.0
422,577.0,20959.0,29366.0,0.0,779.0,2847.0,1099.0,2847.0,1082.0,375.0,400800.0,41.78,-87.62,0.0
423,83.0,43723.0,58785.0,1922.0,1053.0,2009.0,1186.0,2025.0,1341.0,972.0,410100.0,41.8,-87.58,0.0
424,89.0,40029.0,67197.0,4000.0,1034.0,1313.0,659.0,1562.0,1159.0,972.0,410200.0,41.8,-87.59,0.0
425,195.0,47614.0,62141.0,1958.0,1280.0,2356.0,1177.0,2463.0,1159.0,811.0,410500.0,41.8,-87.6,1.0
426,200.0,33712.0,64489.0,2080.0,1066.0,2538.0,1078.0,2643.0,1280.0,980.0,410600.0,41.8,-87.6,0.0
427,122.0,38516.0,70246.0,2138.0,1159.0,1989.0,992.0,2015.0,1249.0,972.0,410700.0,41.8,-87.59,0.0
428,322.0,40469.0,56285.0,1760.0,972.0,2951.0,1637.0,2987.0,1249.0,1034.0,410800.0,41.8,-87.59,0.0
429,302.0,52788.0,72783.0,2093.0,1010.0,2973.0,1693.0,3078.0,1341.0,827.0,410900.0,41.8,-87.58,0.0
430,93.0,71268.0,121109.0,1775.0,1207.0,2809.0,1806.0,3128.0,1240.0,827.0,411000.0,41.79,-87.58,0.0
431,262.0,108750.0,159485.0,2681.0,1240.0,1861.0,836.0,2239.0,1249.0,914.0,411100.0,41.79,-87.59,0.0
432,213.0,84333.0,158266.0,3225.0,1249.0,1651.0,752.0,1681.0,1240.0,914.0,411200.0,41.79,-87.59,0.0
433,153.0,19855.0,36904.0,2284.0,827.0,1331.0,740.0,1331.0,1240.0,795.0,420100.0,41.78,-87.58,0.0
434,303.0,32303.0,46684.0,1481.0,973.0,1503.0,617.0,1688.0,1249.0,828.0,420200.0,41.78,-87.59,1.0
435,111.0,31849.0,63742.0,1903.0,914.0,1478.0,667.0,2625.0,1249.0,828.0,420300.0,41.78,-87.6,0.0
436,77.0,14389.0,32220.0,1186.0,828.0,1180.0,688.0,1180.0,1083.0,872.0,420400.0,41.78,-87.6,1.0
437,272.0,25781.0,35444.0,1463.0,872.0,1704.0,789.0,1704.0,1083.0,828.0,420500.0,41.78,-87.61,0.0
438,356.0,19801.0,28791.0,1880.0,843.0,2017.0,919.0,2017.0,1082.0,779.0,420600.0,41.78,-87.61,0.0
439,588.0,19042.0,32960.0,1280.0,1027.0,3264.0,1198.0,3269.0,1083.0,561.0,420700.0,41.78,-87.61,0.0
440,373.0,35476.0,46263.0,1646.0,1083.0,2072.0,796.0,2077.0,1073.0,561.0,420800.0,41.78,-87.6,1.0
441,295.0,21792.0,38743.0,1385.0,561.0,1497.0,539.0,1497.0,1083.0,873.0,421200.0,41.77,-87.61,1.0
442,421.0,32292.0,46690.0,1795.0,902.0,3431.0,1614.0,3431.0,1059.0,739.0,430101.0,41.77,-87.57,0.0
443,159.0,22725.0,34107.0,1530.0,739.0,2934.0,1821.0,2944.0,1205.0,740.0,430102.0,41.77,-87.56,0.0
444,815.0,22419.0,52922.0,2636.0,795.0,4846.0,2351.0,4866.0,963.0,740.0,430200.0,41.77,-87.58,0.0
445,649.0,15902.0,26673.0,1625.0,963.0,2387.0,890.0,2391.0,1073.0,791.0,430300.0,41.77,-87.59,0.0
446,643.0,15469.0,35673.0,1110.0,1033.0,2831.0,1059.0,2934.0,963.0,791.0,430400.0,41.76,-87.59,0.0
447,573.0,19129.0,32791.0,1616.0,791.0,3538.0,1576.0,3543.0,1033.0,795.0,430500.0,41.76,-87.58,0.0
448,246.0,23300.0,57635.0,2208.0,740.0,1720.0,696.0,1732.0,1205.0,739.0,430600.0,41.76,-87.57,1.0
449,247.0,19093.0,41644.0,1417.0,896.0,2300.0,1259.0,2562.0,1059.0,739.0,430700.0,41.77,-87.56,0.0
450,164.0,41875.0,51053.0,1789.0,1059.0,1549.0,705.0,1549.0,1205.0,740.0,430800.0,41.76,-87.57,0.0
451,145.0,34286.0,38164.0,1411.0,864.0,1353.0,642.0,1356.0,1059.0,740.0,430900.0,41.76,-87.58,1.0
452,334.0,43871.0,63061.0,1509.0,1205.0,2970.0,1100.0,2975.0,1059.0,740.0,431200.0,41.76,-87.57,0.0
453,426.0,20625.0,31880.0,1705.0,847.0,3250.0,1176.0,3319.0,1205.0,820.0,431301.0,41.75,-87.56,0.0
454,766.0,19756.0,37729.0,1851.0,820.0,4137.0,1619.0,4161.0,1205.0,739.0,431302.0,41.76,-87.56,0.0
455,668.0,21781.0,37570.0,1571.0,887.0,5887.0,3140.0,6406.0,896.0,709.0,431400.0,41.76,-87.55,0.0
456,634.0,21623.0,29094.0,1375.0,783.0,3982.0,1788.0,4020.0,953.0,765.0,440101.0,41.75,-87.6,1.0
457,509.0,25116.0,34149.0,1476.0,842.0,3431.0,1596.0,3431.0,898.0,765.0,440102.0,41.74,-87.6,0.0
458,640.0,32143.0,48108.0,1728.0,876.0,4805.0,2304.0,4805.0,1010.0,783.0,440201.0,41.75,-87.61,0.0
459,308.0,35242.0,48431.0,1667.0,786.0,3507.0,1636.0,3507.0,1010.0,783.0,440202.0,41.74,-87.61,0.0
460,457.0,55259.0,58038.0,1323.0,1010.0,4770.0,1990.0,4775.0,1391.0,786.0,440300.0,41.74,-87.62,0.0
461,243.0,59924.0,73866.0,1646.0,1391.0,1980.0,776.0,1980.0,1117.0,898.0,440600.0,41.73,-87.62,0.0
462,190.0,37500.0,52196.0,1431.0,898.0,1513.0,646.0,1513.0,1391.0,786.0,440700.0,41.73,-87.61,0.0
463,153.0,19833.0,27244.0,1201.0,835.0,1553.0,686.0,1553.0,1014.0,748.0,440800.0,41.73,-87.6,1.0
464,400.0,34050.0,48443.0,1250.0,922.0,2398.0,953.0,2403.0,1391.0,835.0,440900.0,41.73,-87.61,1.0
465,417.0,45156.0,59808.0,1531.0,960.0,3650.0,1361.0,3650.0,1076.0,765.0,450300.0,41.74,-87.58,0.0
466,650.0,31094.0,48531.0,1156.0,862.0,3130.0,1105.0,3133.0,988.0,640.0,460100.0,41.75,-87.54,0.0
467,369.0,27925.0,44902.0,1435.0,709.0,2670.0,835.0,2678.0,988.0,640.0,460200.0,41.74,-87.55,1.0
468,522.0,36182.0,43388.0,1253.0,988.0,2917.0,953.0,2917.0,926.0,640.0,460301.0,41.74,-87.56,0.0
469,579.0,23345.0,33783.0,1191.0,853.0,3462.0,1210.0,3468.0,988.0,709.0,460302.0,41.75,-87.56,0.0
470,504.0,39151.0,48853.0,1449.0,926.0,3451.0,1272.0,3458.0,1205.0,819.0,460400.0,41.74,-87.56,0.0
471,451.0,37168.0,49469.0,1492.0,826.0,4816.0,2209.0,4816.0,1205.0,866.0,460500.0,41.75,-87.57,1.0
472,149.0,36161.0,41235.0,1467.0,819.0,1035.0,355.0,1044.0,988.0,640.0,460600.0,41.74,-87.56,1.0
473,577.0,21306.0,34735.0,987.0,640.0,2751.0,883.0,2775.0,988.0,355.0,460700.0,41.74,-87.55,1.0
474,218.0,14385.0,25501.0,1313.0,355.0,1422.0,823.0,1533.0,819.0,640.0,461000.0,41.73,-87.55,1.0
475,238.0,24821.0,38338.0,1196.0,748.0,2254.0,965.0,2254.0,1049.0,835.0,470100.0,41.73,-87.6,0.0
